id,status,sortOrder,title,sub-title,pagecount,author,category,host,hostRole,hostLinkedIn,spotsLeft,spotsTotal,sessionCount,cadence,price,bookCoverUrl,hostPhotoUrl,buyBookUrl,formUrl,homeworkFormUrl,communityPlatform,communityChannelName,communityUrl,communityInstructions
way-of-excellence,published,1,The Way of Excellence,A Guide to True Greatness and Deep Satisfaction in a Chaotic World,276,Brad Stulberg,Mind & Behavior,Gautam,An eclectic and determined host,https://www.linkedin.com/in/REPLACE,4,5,6,"Weekly, Saturdays",$9,https://m.media-amazon.com/images/I/41a0T-z0aZL._SY445_SX342_FMwebp_.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHq4DP-xezcIpmCncL8GJ3j3cjQAZElNDkTKI3ynkuNA&s=10,https://www.amazon.com/Way-Excellence-Greatness-Satisfaction-Chaotic/dp/0063385945/ref=tmm_hrd_swatch_0?_encoding=UTF8&dib_tag=se&dib=eyJ2IjoiMSJ9.kqQymUSgUf5akhfJFhcPvX7sVcP2_vn2v6eGCBF5JxDzO0Zm28QCD9oNTp9pog68UEjxjWapzcQzRapRLx9yzC7gK-rMSwh54NMyEZsCdqKDDhu-IdbmJq1_gIvgun5BEGhVsgPrRxYAbQ_2AeVTNjqnXsTw8bjRVkB5P8xpLIT9N6CejsB4adPi7K9cl9xjkZIaTqKnLDgCAMJTMlMTTZ7cYFv3K1ffhl3cvjOafpw.fUqxTdwF7Z1-ZMvxMkq6rYJfpKy3YBWtevkOhStD12s&qid=1783961548&sr=8-1,https://forms.gle/REPLACE_EXCELLENCE_REG,,Slack,#excellence-cohort,,Slack invite sent after registration.
nexus,published,2,Nexus: A Brief History of Information Networks,,,Yuval Noah Harari,Technology & Society,Naveen,AI/product builder and serious reader,https://www.linkedin.com/in/REPLACE,3,8,6,"Weekly, Mondays",$9,https://m.media-amazon.com/images/I/71l4l6o2drL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/naveen.jpg,https://www.amazon.com/s?k=Nexus+Yuval+Noah+Harari,https://forms.gle/REPLACE_NEXUS_REG,https://forms.gle/REPLACE_NEXUS_HW,Slack,#nexus-cohort,,Slack invite sent after registration.
build-llm,published,3,Build a Large Language Model (From Scratch),,,Sebastian Raschka,Technology & Society,Naveen,Builder and hands-on AI learner,https://www.linkedin.com/in/REPLACE,6,8,7,"Weekly, Saturdays",$9,https://m.media-amazon.com/images/I/71eljkULtwL._SL1500_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/naveen.jpg,https://www.amazon.com/s?k=Build+a+Large+Language+Model+From+Scratch,https://forms.gle/REPLACE_BUILDLLM_REG,https://forms.gle/REPLACE_BUILDLLM_HW,Slack,#build-llm-cohort,,Slack invite sent after registration.
capital-in-the-twenty-first-century,published,4,Capital in the Twenty-First Century,,,Thomas Piketty,Economics & Money,Marcus,Economics and policy reader,https://www.linkedin.com/in/REPLACE,4,8,8,"Weekly, Thursdays",$9,https://m.media-amazon.com/images/I/51JpJKAHFbL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=Capital+in+the+Twenty-First+Century+Piketty,https://forms.gle/REPLACE_CAPITAL_REG,https://forms.gle/REPLACE_CAPITAL_HW,Slack,#capital-cohort,,Slack invite sent after registration.
the-coming-wave,published,5,The Coming Wave,,,Mustafa Suleyman,Technology & Society,Marcus,AI founder and operator,https://www.linkedin.com/in/REPLACE,4,8,6,"Weekly, Tuesdays",$9,https://m.media-amazon.com/images/I/51BtRW3FJOL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=The+Coming+Wave+Mustafa+Suleyman,https://forms.gle/REPLACE_COMINGWAVE_REG,,Slack,#coming-wave-cohort,,Slack invite sent after registration.
debt-the-first-5000-years,published,6,"Debt: The First 5,000 Years",,,David Graeber,Economics & Money,Priya,Economic history reader,https://www.linkedin.com/in/REPLACE,5,8,7,"Weekly, Tuesdays",$9,https://m.media-amazon.com/images/I/41tHvJ4DqnL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=Debt+The+First+5000+Years+Graeber,https://forms.gle/REPLACE_DEBT_REG,,Slack,#debt-cohort,,Slack invite sent after registration.
the-alignment-problem,published,7,The Alignment Problem,,,Brian Christian,Technology & Society,Aisha,ML engineer and skeptical AI practitioner,https://www.linkedin.com/in/REPLACE,5,8,6,"Weekly, Thursdays",$9,https://m.media-amazon.com/images/I/71buTbF1YDL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/aisha.jpg,https://www.amazon.com/s?k=The+Alignment+Problem+Brian+Christian,https://forms.gle/REPLACE_ALIGNMENT_REG,,Slack,#alignment-problem-cohort,,Slack invite sent after registration.
empire-of-ai,published,8,Empire of AI,,,Karen Hao,Technology & Society,Priya,Technology policy researcher,https://www.linkedin.com/in/REPLACE,5,8,6,"Weekly, Saturdays",$9,https://m.media-amazon.com/images/I/41HohJ5FKrL._SY445_SX342_FMwebp_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=Empire+of+AI+Karen+Hao,https://forms.gle/REPLACE_EMPIRE_REG,,Slack,#empire-of-ai-cohort,,Slack invite sent after registration.
the-dawn-of-everything,published,9,The Dawn of Everything: A New History of Humanity,,,David Graeber and David Wengrow,History & Civilization,Priya,Anthropology reader and facilitator,https://www.linkedin.com/in/REPLACE,4,8,8,"Weekly, Sundays",$9,https://m.media-amazon.com/images/I/819UL7qQa5L._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/priya.jpg,https://www.amazon.com/s?k=The+Dawn+of+Everything+Graeber,https://forms.gle/REPLACE_DAWN_REG,,Slack,#dawn-of-everything-cohort,,Slack invite sent after registration.
the-power-broker,published,10,The Power Broker: Robert Moses and the Fall of New York,,,Robert A. Caro,History & Civilization,Marcus,Urbanism and power reader,https://www.linkedin.com/in/REPLACE,3,8,10,"Weekly, Wednesdays",$9,https://m.media-amazon.com/images/I/81sw84h-ZTL._SY342_.jpg,https://REPLACE_PUBLIC_IMAGE_URL/marcus.jpg,https://www.amazon.com/s?k=The+Power+Broker+Robert+Caro,https://forms.gle/REPLACE_POWERBROKER_REG,https://forms.gle/REPLACE_POWERBROKER_HW,Slack,#power-broker-cohort,,Slack invite sent after registration.
